dataset,model,category,complexity,protocol,rmse_mean,rmse_std,n
Book-Crossing,UserItemBias,Bias,1,WR,0.7237,0.0009,3
Book-Crossing,SVD,MF,2,SC,0.8097,0.0065,3
Book-Crossing,SVD,MF,2,WR,0.7268,0.0007,3
Book-Crossing,NeuMF,Deep,3,SC,0.8196,0.0058,3
Book-Crossing,NeuMF,Deep,3,WR,0.7486,0.0075,3
Book-Crossing,DeepFM,Deep,3,SC,0.8389,0.0155,3
Book-Crossing,DeepFM,Deep,3,WR,0.7854,0.0265,3
Book-Crossing,BehaviorMLP,Deep,3,SC,0.6774,0.1225,3
Book-Crossing,BehaviorMLP,Deep,3,WR,0.6570,0.0298,3
Book-Crossing,ProfileMLP,Deep,3,SC,0.8158,0.0045,3
Book-Crossing,ProfileMLP,Deep,3,WR,0.8109,0.0011,3
Book-Crossing,Hybrid,Deep,3,SC,0.6836,0.1256,3
Book-Crossing,Hybrid,Deep,3,WR,0.6495,0.0279,3
Book-Crossing,DualHard,Adaptive,4,SC,0.7618,0.0481,3
Book-Crossing,DualHard,Adaptive,4,WR,0.7443,0.0146,3
Book-Crossing,DualSoft,Adaptive,4,SC,0.6906,0.1230,3
Book-Crossing,DualSoft,Adaptive,4,WR,0.6748,0.0354,3
